clock,state,replay_mode,num_tagged,num_simulations,attunement_score,schema_stress,preset,vigilance,rt_mean,rt_std,accuracy,precision_ratio,volatility
1,awake,problem_solving,6,6,2,0.342,neurotypical,0.85,446.45,15.21,0.667,1.274,0.625
2,awake,problem_solving,3,3,1,0.25,neurotypical,0.85,435.45,7.85,0.0,1.34,0.723
3,awake,problem_solving,3,3,0,0.38,neurotypical,0.85,482.45,27.72,1.0,1.417,0.819
4,awake,problem_solving,5,5,4,0.408,neurotypical,0.85,566.52,138.66,0.5,1.445,0.852
5,awake,rest,4,4,4,0.359,neurotypical,0.85,465.62,23.55,0.667,1.453,0.861
6,awake,rest,3,3,2,0.338,neurotypical,0.849,480.79,27.38,0.5,1.462,0.87
7,awake,rest,5,5,1,0.296,neurotypical,0.849,564.72,55.62,0.0,1.451,0.858
8,awake,rest,4,4,3,0.283,neurotypical,0.849,482.62,30.19,1.0,1.436,0.842
9,awake,rest,3,3,3,0.214,neurotypical,0.849,578.79,78.91,0.0,1.418,0.821
10,awake,rest,6,6,0,0.282,neurotypical,0.849,457.45,40.62,0.667,1.45,0.857
11,awake,rest,3,3,2,0.294,neurotypical,0.849,473.45,11.95,1.0,1.445,0.851
12,awake,problem_solving,4,4,0,0.484,neurotypical,0.849,449.12,38.35,0.75,1.461,0.869
13,awake,problem_solving,4,4,3,0.488,neurotypical,0.849,454.37,20.08,1.0,1.466,0.875
14,awake,problem_solving,5,5,2,0.475,neurotypical,0.849,493.52,56.33,1.0,1.464,0.872
15,awake,problem_solving,7,7,4,0.432,neurotypical,0.849,506.98,65.0,1.0,1.457,0.865
16,awake,problem_solving,4,4,2,0.292,neurotypical,0.848,604.87,221.21,1.0,1.451,0.858
17,awake,problem_solving,4,4,2,0.475,neurotypical,0.848,554.12,137.24,1.0,1.463,0.871
18,awake,rest,6,6,0,0.445,neurotypical,0.848,546.45,104.03,1.0,1.468,0.876
19,awake,rest,7,7,1,0.415,neurotypical,0.848,479.26,63.43,1.0,1.466,0.875
20,awake,rest,4,4,3,0.283,neurotypical,0.848,458.37,20.5,1.0,1.452,0.859
21,awake,rest,5,5,2,0.351,neurotypical,0.848,538.52,93.68,0.5,1.441,0.848
22,awake,rest,5,5,2,0.473,neurotypical,0.848,480.92,43.88,0.75,1.437,0.843
23,awake,soothing,4,4,1,0.598,neurotypical,0.848,514.87,41.84,0.333,1.456,0.863
24,awake,soothing,6,6,1,0.628,neurotypical,0.848,454.45,23.89,0.75,1.48,0.889
25,awake,soothing,2,2,1,0.448,neurotypical,0.848,435.12,2.0,1.0,1.482,0.891
26,awake,soothing,5,5,4,0.45,neurotypical,0.847,484.32,56.72,0.5,1.471,0.88
27,awake,soothing,6,6,1,0.43,neurotypical,0.847,500.62,80.76,1.0,1.469,0.878
28,awake,problem_solving,4,4,3,0.573,neurotypical,0.847,496.37,62.0,0.667,1.478,0.887
29,awake,problem_solving,4,4,0,0.375,neurotypical,0.847,478.62,48.18,1.0,1.474,0.883
30,awake,problem_solving,3,3,2,0.271,neurotypical,0.847,546.12,103.0,1.0,1.471,0.879
31,awake,problem_solving,2,2,2,0.215,neurotypical,0.847,427.12,5.0,1.0,1.471,0.879
32,awake,problem_solving,4,4,4,0.233,neurotypical,0.847,482.87,5.17,0.0,1.465,0.873
33,awake,rest,4,4,2,0.176,neurotypical,0.847,486.12,95.98,1.0,1.446,0.853
34,awake,rest,5,5,3,0.376,neurotypical,0.847,479.92,48.88,1.0,1.471,0.88
35,awake,rest,5,5,0,0.51,neurotypical,0.847,485.72,32.03,1.0,1.487,0.896
36,awake,rest,3,3,1,0.443,neurotypical,0.846,467.12,35.69,0.0,1.486,0.896
37,awake,rest,4,4,1,0.465,neurotypical,0.846,489.62,13.12,1.0,1.48,0.889
38,awake,problem_solving,3,3,2,0.525,neurotypical,0.846,561.79,119.81,0.667,1.476,0.885
39,awake,problem_solving,5,5,1,0.406,neurotypical,0.846,539.12,100.91,1.0,1.475,0.883
40,awake,problem_solving,4,4,3,0.352,neurotypical,0.846,454.62,33.8,0.0,1.46,0.868
41,awake,problem_solving,5,5,1,0.477,neurotypical,0.846,528.92,79.2,0.667,1.449,0.856
42,awake,problem_solving,7,7,1,0.433,neurotypical,0.846,472.98,41.82,1.0,1.452,0.86
43,awake,rest,4,4,5,0.458,neurotypical,0.846,442.87,13.12,0.5,1.438,0.844
44,awake,rest,5,5,2,0.561,neurotypical,0.846,435.72,10.91,0.5,1.46,0.868
45,awake,rest,6,6,4,0.493,neurotypical,0.846,511.62,49.04,1.0,1.466,0.874
46,awake,rest,3,3,2,0.425,neurotypical,0.845,479.79,59.7,1.0,1.456,0.863
47,awake,rest,4,4,1,0.363,neurotypical,0.845,476.62,32.07,1.0,1.441,0.847
48,awake,rest,4,4,4,0.434,neurotypical,0.845,510.87,16.02,0.667,1.44,0.846
49,awake,rest,5,5,3,0.441,neurotypical,0.845,490.12,98.06,0.5,1.441,0.847
50,awake,rest,1,1,3,0.341,neurotypical,0.845,536.12,0.0,0.0,1.449,0.857
1,awake,problem_solving,2,2,0,0.415,adhd_typical,0.6,352.5,13.5,0.0,1.085,0.854
2,awake,problem_solving,5,5,1,0.291,adhd_typical,0.6,436.8,79.52,0.0,1.067,0.827
3,awake,problem_solving,2,2,3,0.245,adhd_typical,0.599,357.5,28.5,0.0,1.067,0.826
4,awake,problem_solving,8,8,3,0.226,adhd_typical,0.599,369.0,32.89,1.0,1.087,0.856
5,awake,rest,3,3,3,0.189,adhd_typical,0.599,385.67,18.45,1.0,1.068,0.828
6,awake,rest,5,5,3,0.222,adhd_typical,0.599,389.2,81.05,1.0,1.083,0.85
7,awake,rest,8,8,5,0.217,adhd_typical,0.598,454.12,95.62,1.0,1.069,0.83
8,awake,rest,3,3,0,0.267,adhd_typical,0.598,452.67,64.93,1.0,1.075,0.838
9,awake,rest,6,6,2,0.19,adhd_typical,0.598,439.33,82.98,1.0,1.121,0.904
10,awake,rest,3,3,2,0.164,adhd_typical,0.598,338.67,15.92,0.0,1.118,0.9
